LAD23CD,LAD23NM,LAD23NMW,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E06000001,Hartlepool,,9834.87,9371.46,0,9371.46
E06000002,Middlesbrough,,5455.36,5388.15,0,5388.15
E06000003,Redcar and Cleveland,,25379.44,24507.85,0,24507.85
E06000004,Stockton-on-Tees,,20974.11,20494.33,0,20494.33
E06000005,Darlington,,19748.95,19748.95,0,19748.95
E06000006,Halton,,9030.57,7908.19,0,7908.19
E06000007,Warrington,,18238.36,18062.81,0,18062.81
E06000008,Blackburn with Darwen,,13701.75,13701.75,0,13701.75
E06000009,Blackpool,,4315.07,3487.1,0,3487.1
E06000010,"Kingston upon Hull, City of",,8146.43,7157.89,0,7157.89
E06000011,East Riding of Yorkshire,,249177.23,240473.98,116.96,240357.02
E06000012,North East Lincolnshire,,20263.99,19262.32,0,19262.32
E06000013,North Lincolnshire,,87893.86,84654.03,0,84654.03
E06000014,York,,27202.06,27194.07,0,27194.07
E06000015,Derby,,7802.01,7802.01,0,7802.01
E06000016,Leicester,,7333.99,7333.99,0,7333.99
E06000017,Rutland,,39373.48,39373.48,1191.78,38181.7
E06000018,Nottingham,,7462.51,7462.51,0,7462.51
E06000019,"Herefordshire, County of",,217968.87,217968.87,0,217968.87
E06000020,Telford and Wrekin,,29027.31,29027.31,0,29027.31
E06000021,Stoke-on-Trent,,9343.61,9343.61,0,9343.61
E06000022,Bath and North East Somerset,,35115.5,35115.5,524.49,34591.01
E06000023,"Bristol, City of",,23601.81,10966.15,0,10966.15
E06000024,North Somerset,,39050.33,37467.51,88.76,37378.75
E06000025,South Gloucestershire,,53672.38,49701.74,0,49701.74
E06000026,Plymouth,,8436.57,7984.55,0,7984.55
E06000027,Torbay,,11945.05,6288.5,0,6288.5
E06000030,Swindon,,23006.34,23006.34,0,23006.34
E06000031,Peterborough,,34346.88,34340.15,0,34340.15
E06000032,Luton,,4335.26,4335.26,0,4335.26
E06000033,Southend-on-Sea,,6797,4167.37,0,4167.37
E06000034,Thurrock,,18443.71,16383.59,0,16383.59
E06000035,Medway,,26893.63,19372.12,0,19372.12
E06000036,Bracknell Forest,,10937.46,10937.46,0,10937.46
E06000037,West Berkshire,,70417.71,70417.71,0,70417.71
E06000038,Reading,,4039.35,4039.35,0,4039.35
E06000039,Slough,,3254.21,3254.21,0,3254.21
E06000040,Windsor and Maidenhead,,19841.3,19841.3,192.55,19648.75
E06000041,Wokingham,,17897.39,17897.39,0,17897.39
E06000042,Milton Keynes,,30864.5,30864.5,0,30864.5
E06000043,Brighton and Hove,,8537.47,8282.17,0,8282.17
E06000044,Portsmouth,,6014.98,4038.67,0,4038.67
E06000045,Southampton,,5638.54,4988.07,0,4988.07
E06000046,Isle of Wight,,39282.61,37962,0,37962
E06000047,County Durham,,223257.9,223142.71,557.15,222585.56
E06000049,Cheshire East,,116631.02,116631.02,0,116631.02
E06000050,Cheshire West and Chester,,94120.1,92001.39,0,92001.39
E06000051,Shropshire,,319734.33,319734.33,0,319734.33
E06000052,Cornwall,,361192.36,354895.03,350.55,354544.48
E06000053,Isles of Scilly,,2285.15,1631.77,0,1631.77
E06000054,Wiltshire,,325539.1,325539.1,0,325539.1
E06000055,Bedford,,47641.67,47641.67,0,47641.67
E06000056,Central Bedfordshire,,71566.62,71566.62,0,71566.62
E06000057,Northumberland,,507835.87,503231.27,1241.48,501989.79
E06000058,"Bournemouth, Christchurch and Poole",,17394.97,16208.13,0,16208.13
E06000059,Dorset,,252105.63,249092.32,0,249092.32
E06000060,Buckinghamshire,,156494.12,156494.12,0,156494.12
E06000061,North Northamptonshire,,98660.73,98660.73,0,98660.73
E06000062,West Northamptonshire,,138036.59,138036.59,298.48,137738.11
E06000063,Cumberland,,315297.6,303424.98,2203.13,301221.85
E06000064,Westmorland and Furness,,403200.96,378927.78,3356.43,375571.35
E06000065,North Yorkshire,,805231.26,804005.34,259.97,803745.37
E06000066,Somerset,,351489.53,345169.5,148.97,345020.53
E07000008,Cambridge,,4069.53,4069.53,0,4069.53
E07000009,East Cambridgeshire,,65165.97,65122.53,0,65122.53
E07000010,Fenland,,54734.41,54644.62,0,54644.62
E07000011,Huntingdonshire,,91255.24,91245.98,627.95,90618.03
E07000012,South Cambridgeshire,,90170.43,90164.39,0,90164.39
E07000032,Amber Valley,,26544.11,26544.11,0,26544.11
E07000033,Bolsover,,16033.2,16033.2,0,16033.2
E07000034,Chesterfield,,6604.11,6604.11,0,6604.11
E07000035,Derbyshire Dales,,79534.83,79534.83,289.37,79245.46
E07000036,Erewash,,10964.02,10964.02,0,10964.02
E07000037,High Peak,,54024.99,54024.99,111.08,53913.91
E07000038,North East Derbyshire,,27561.2,27561.2,0,27561.2
E07000039,South Derbyshire,,33812.48,33812.48,0,33812.48
E07000040,East Devon,,82244.37,81423.85,0,81423.85
E07000041,Exeter,,4788.75,4703.57,0,4703.57
E07000042,Mid Devon,,91292.01,91292.01,0,91292.01
E07000043,North Devon,,110474.8,108590.02,0,108590.02
E07000044,South Hams,,90515.81,88657.19,0,88657.19
E07000045,Teignbridge,,68002.31,67372.88,0,67372.88
E07000046,Torridge,,99525.73,98522.98,145.96,98377.02
E07000047,West Devon,,116474.73,116112.89,143.85,115969.04
E07000061,Eastbourne,,4533.12,4416.14,0,4416.14
E07000062,Hastings,,3080.81,2980.32,0,2980.32
E07000063,Lewes,,29440.78,29211.38,0,29211.38
E07000064,Rother,,51711.24,51174.29,231.26,50943.03
E07000065,Wealden,,83619.3,83498.42,182.26,83316.16
E07000066,Basildon,,11046.25,11001.67,0,11001.67
E07000067,Braintree,,61170.95,61170.95,0,61170.95
E07000068,Brentwood,,15311.77,15311.77,0,15311.77
E07000069,Castle Point,,6360.99,4466.73,0,4466.73
E07000070,Chelmsford,,34299.21,34223.69,346.93,33876.76
E07000071,Colchester,,34676.81,33232.51,410.14,32822.37
E07000072,Epping Forest,,33897.83,33897.83,0,33897.83
E07000073,Harlow,,3054.36,3054.36,0,3054.36
E07000074,Maldon,,42803.08,35781.59,0,35781.59
E07000075,Rochford,,26293.72,16709.23,0,16709.23
E07000076,Tendring,,36618.24,33632.45,0,33632.45
E07000077,Uttlesford,,64115.26,64115.26,0,64115.26
E07000078,Cheltenham,,4659.58,4659.58,0,4659.58
E07000079,Cotswold,,116448.72,116448.72,0,116448.72
E07000080,Forest of Dean,,56178.68,52588.54,0,52588.54
E07000081,Gloucester,,4082.66,4055.3,0,4055.3
E07000082,Stroud,,47552.5,46056.21,0,46056.21
E07000083,Tewkesbury,,41494.7,41438.54,0,41438.54
E07000084,Basingstoke and Deane,,63381.07,63381.07,0,63381.07
E07000085,East Hampshire,,51441.23,51441.23,0,51441.23
E07000086,Eastleigh,,8529.74,7969.16,0,7969.16
E07000087,Fareham,,7785.49,7422,0,7422
E07000088,Gosport,,2760.7,2537.37,0,2537.37
E07000089,Hart,,21525.37,21525.37,0,21525.37
E07000090,Havant,,7895.58,5575.16,0,5575.16
E07000091,New Forest,,77553.11,75218.05,0,75218.05
E07000092,Rushmoor,,3904.94,3904.94,0,3904.94
E07000093,Test Valley,,62768.07,62765.41,0,62765.41
E07000094,Winchester,,66106.13,66097.08,0,66097.08
E07000095,Broxbourne,,5145.67,5145.67,0,5145.67
E07000096,Dacorum,,21247.98,21247.98,0,21247.98
E07000098,Hertsmere,,10112.75,10112.75,0,10112.75
E07000099,North Hertfordshire,,37538.46,37538.46,0,37538.46
E07000102,Three Rivers,,8882.34,8882.34,0,8882.34
E07000103,Watford,,2143.06,2143.06,0,2143.06
E07000105,Ashford,,58064.2,58064.2,0,58064.2
E07000106,Canterbury,,31859.54,30873.72,0,30873.72
E07000107,Dartford,,7632.17,7273.27,0,7273.27
E07000108,Dover,,32079.27,31534.96,0,31534.96
E07000109,Gravesham,,10494.8,9898.83,0,9898.83
E07000110,Maidstone,,39336.54,39334.42,0,39334.42
E07000111,Sevenoaks,,37033.97,37033.97,111.62,36922.35
E07000112,Folkestone and Hythe,,36545.86,35691.2,0,35691.2
E07000113,Swale,,42199.47,37344.22,0,37344.22
E07000114,Thanet,,11246.42,10360.92,0,10360.92
E07000115,Tonbridge and Malling,,24097.87,24011.96,0,24011.96
E07000116,Tunbridge Wells,,33128.56,33128.56,0,33128.56
E07000117,Burnley,,11068.16,11068.16,0,11068.16
E07000118,Chorley,,20290.07,20275.65,0,20275.65
E07000119,Fylde,,18172.71,16569.19,0,16569.19
E07000120,Hyndburn,,7297.71,7297.71,0,7297.71
E07000121,Lancaster,,65390.21,56693.5,0,56693.5
E07000122,Pendle,,16940.27,16940.27,0,16940.27
E07000123,Preston,,14294.58,14228.85,0,14228.85
E07000124,Ribble Valley,,58446.6,58446.6,128.58,58318.02
E07000125,Rossendale,,13804.09,13804.09,0,13804.09
E07000126,South Ribble,,11460.15,11318.52,0,11318.52
E07000127,West Lancashire,,38102.38,34663.3,0,34663.3
E07000128,Wyre,,32879.15,28215.82,0,28215.82
E07000129,Blaby,,13049.66,13049.66,0,13049.66
E07000130,Charnwood,,27902.38,27902.38,0,27902.38
E07000131,Harborough,,59266.05,59266.05,89.55,59176.5
E07000132,Hinckley and Bosworth,,29734.13,29734.13,0,29734.13
E07000133,Melton,,48138.76,48138.76,0,48138.76
E07000134,North West Leicestershire,,27933.83,27933.83,0,27933.83
E07000135,Oadby and Wigston,,2352.61,2352.61,0,2352.61
E07000136,Boston,,39777.83,36399.25,0,36399.25
E07000137,East Lindsey,,183085.48,176676.49,0,176676.49
E07000138,Lincoln,,3569.02,3569.02,0,3569.02
E07000139,North Kesteven,,92247.35,92247.35,0,92247.35
E07000140,South Holland,,81547.25,75007.13,0,75007.13
E07000141,South Kesteven,,94257.49,94257.49,0,94257.49
E07000142,West Lindsey,,115765.68,115573.66,0,115573.66
E07000143,Breckland,,130510.29,130510.29,0,130510.29
E07000144,Broadland,,55327.63,55209.45,0,55209.45
E07000145,Great Yarmouth,,18257.16,17431.35,0,17431.35
