LAD19CD,IDACI - Average rank ,IDACI - Average score ,IDACI - Proportion  of LSOAs in most deprived 10% nationally 
E06000001,23480.37,0.283,0.431
E06000002,25026,0.327,0.4767
E06000003,21868.78,0.256,0.2955
E06000004,19164.6,0.209,0.1917
E06000005,19072.53,0.203,0.2154
E06000006,21505.22,0.239,0.2532
E06000007,13861.6,0.132,0.0472
E06000008,21937.9,0.228,0.1868
E06000009,25209.46,0.307,0.3404
E06000010,24636.64,0.298,0.3795
E06000011,12645.25,0.118,0.0476
E06000012,22479.12,0.274,0.3208
E06000013,19056.13,0.183,0.099
E06000014,10884.35,0.1,0.0167
E06000015,20130.76,0.211,0.1457
E06000016,23368.32,0.242,0.1927
E06000017,8809.54,0.072,0
E06000018,26100.16,0.298,0.3791
E06000019,14627,0.124,0
E06000020,20691.9,0.213,0.1481
E06000021,23720.91,0.257,0.2516
E06000022,11741.47,0.104,0.0174
E06000023,19568.47,0.206,0.1711
E06000024,13130.93,0.124,0.0667
E06000025,12172.81,0.104,0
E06000026,19825.85,0.203,0.1304
E06000027,22163.12,0.219,0.1461
E06000030,15476.51,0.149,0.0833
E06000031,21384.17,0.208,0.1161
E06000032,21059.15,0.196,0.0909
E06000033,18791.88,0.192,0.1308
E06000034,19816.07,0.186,0.0612
E06000035,19523.94,0.189,0.1043
E06000036,10688.01,0.089,0
E06000037,10224.15,0.087,0
E06000038,17347.77,0.16,0.0412
E06000039,18051.44,0.147,0
E06000040,7804.52,0.067,0
E06000041,6241.33,0.056,0
E06000042,16666.06,0.15,0.0461
E06000043,15924.75,0.153,0.097
E06000044,20192.6,0.202,0.128
E06000045,20749.02,0.205,0.1284
E06000046,19670.42,0.18,0.0674
E06000047,21524.75,0.222,0.1667
E06000049,11561.41,0.107,0.0085
E06000050,14843.28,0.145,0.0896
E06000051,13890.23,0.12,0.0207
E06000052,18359.27,0.164,0.046
E06000053,2485,0.032,0
E06000054,12060.19,0.102,0.007
E06000055,17028.94,0.151,0.0097
E06000056,13186.77,0.114,0.0127
E06000057,17014.84,0.174,0.1472
E06000058,16357.55,0.147,0.0386
E06000059,14257.04,0.121,0.0183
