year,incare_males_england,incare_males_wales,incare_males_ew,incare_females_england,incare_females_wales,incare_females_ew,incare_total_england,incare_total_wales,incare_total_ew,incare_under1_england,incare_under1_wales,incare_under1_ew,incare_ 1to4_england,incare_ 1to4_wales,incare_ 1to4_ew,incare_ under5_england,incare_ under5_wales,incare_ under5_ew,incare_ 5to9_england,incare_ 5to9_wales,incare_ 5to9_ew,incare_ 10to15_england,incare_ 10to15_wales,incare_ 10to15_ew,incare_ 5to15_england,incare_ 5to15_wales,incare_ 5to15_ew,incare_ 16over_england,incare_ 16over_wales,incare_ 16over_ew,newcareperiods_england,newcareperiods_wales,newcareperiods_ew,newchildren_england,newchildren_wales,newchildren_ew,,Data,Time,Source,Pop_19under,Pop_under5,Pop_5over
1949,,,,,,,,,55300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,12339000,3701000,8638000
1950,,,,,,,,,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,12366000,3725000,8641000
1951,,,,,,,,,62700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,12441000,3729000,8712000
1952,,,35700,,,28900,,,64700,,,,,,,,,13100,,,,,,,,,40300,,,11200,,,38000,,,33800,,0,0,0,12505000,3505000,9000000
1953,,,36200,,,29100,,,65300,,,,,,,,,12800,,,,,,,,,40600,,,11900,,,39300,,,35000,,0,0,0,12596000,3385000,9211000
1954,,,35800,,,28700,,,64600,,,,,,,,,12100,,,,,,,,,40000,,,12400,,,39500,,,35100,,0,0,0,12700000,3326000,9374000
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,34600,,,27700,,,62300,,,,,,,,,11200,,,,,,,,,38700,,,12500,,,38100,,,33900,,0,1,0,12920000,3291000,9629000
1957,,,34500,,,27600,,,62000,,,,,,,,,11300,,,,,,,,,38200,,,12500,,,39100,,,34800,,0,1,0,13046000,3328000,9718000
1958,,,34500,,,27600,,,62100,,,,,,,,,11300,,,,,,,,,38100,,,12600,,,40000,,,35600,,0,1,0,13173000,3383000,9790000
1959,,,34100,,,27400,,,61600,,,,,,,,,11200,,,,,,,,,37400,,,13000,,,40300,,,35900,,0,1,0,13341000,3452000,9889000
1960,,,34100,,,27700,,,61700,,,,,,,,,11600,,,,,,,,,36900,,,13300,,,42000,,,37400,,0,1,0,13563000,3547000,10016000
1961,,,34300,,,27900,,,62200,,,,,,,,,11800,,,,,,,,,36900,,,13500,,,45200,,,40200,,0,1,0,13856400,3656100,10200300
1962,,,35000,,,28600,,,63600,,,,,,,,,12700,,,,,,,,,37500,,,13400,,,47500,,,42200,,0,1,0,14124400,3788300,10336100
1963,,,35500,,,29300,,,64800,,,,,,,,,13300,,,,,,,,,38000,,,13500,,,48500,,,43100,,0,1,0,14319500,3901400,10418100
1964,,,36300,,,30000,,,66300,,,,,,,,,13900,,,,,,,,,38200,,,14200,,,51800,,,46100,,0,1,0,14482200,4004900,10477300
1965,,,36900,,,30200,63900,,67100,,,,,,,,,14500,,,,,,,,,38400,,,14200,,,54700,,,48600,,0,1,0,14645400,4100800,10544600
1966,,,38000,,,31200,65900,,69200,,,,,,,,,15300,,,,,,,,,39200,,,14600,,,54500,,,48500,,0,1,0,14781900,4151400,10630500
1967,,,38200,,,31200,66200,,69400,,,,,,,,,15000,,,,,,,,,39700,,,14600,,,53400,,,47500,,0,1,0,14755500,4163100,10592400
1968,,,38500,,,30800,66300,,69400,,,,,,,,,14700,,,,,,,,,40700,,,14000,,,50900,,,45300,,0,1,0,14807000,4149400,10657600
1969,,,38600,,,31600,67200,,70200,,,,,,,,,14700,,,,,,,,,41500,,,14000,,,51300,,,45600,,0,1,0,14880500,4104700,10775800
1970,,,39300,,,31900,68300,,71200,,,,,,,,,13700,,,,,,,,,43200,,,14400,,,51500,,,45900,,0,1,0,14928800,4008600,10920200
1971,50200,2250,52500,33500,1460,34900,83700,3710,87400,,,,,,,12800,500,13300,,,,,,,47900,2100,50000,23000,1110,24100,50300,1950,52200,44600,1710,46500,,0,1,0,15000300,3951400,11048900
1972,52400,2480,54900,34100,1610,35700,86500,4080,90600,,,,,,,11600,520,12200,,,,,,,49600,2290,51900,25300,1270,26600,51200,2140,53400,45500,1880,47500,,0,1,0,15072000,3854300,11217700
1973,54100,2680,56800,34800,1670,36400,88800,4350,93200,,,,,,,12000,630,12600,,,,,,,56600,2740,59300,20300,970,21300,51300,2240,53600,45500,1970,47700,,0,1,0,15092900,3739500,11353400
1974,55500,2850,58400,35800,1700,37500,91300,4550,95900,,,,,,,11100,620,11700,,,,,,,60700,2890,63600,19500,1040,20500,50400,2330,52700,44700,2050,46900,,0,1,0,15036100,3575500,11460600
1975,57300,3010,60300,36900,1890,38800,94200,4900,99100,,,,,,,11500,770,12300,,,,,,,63700,3220,66900,19000,910,19900,49100,2520,51600,43500,2210,45900,,0,1,0,14978400,3422600,11555800
